molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4791642,active,1.08,O=C(CCCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,546.6710000000004,5.700100000000005,1.0,7.0
CHEMBL4742248,active,16.54,O=C(CCCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,532.6440000000005,5.310000000000005,1.0,7.0
CHEMBL4755968,active,0.93,O=C(CCN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,518.6170000000004,4.919900000000005,1.0,7.0
CHEMBL4776843,active,216.34,O=C(CN1CCC2c3ccccc3NC2C1)Oc1ccc(/C=C2\CCn3c2nc2ccccc2c3=O)cc1,504.5900000000003,4.529800000000003,1.0,7.0
CHEMBL4746231,intermediate,3500.0,CS[C@@H](Cn1nnc2cc(C#Cc3ccc(CN4CCOCC4)cc3)ccc21)N(O)C=O,451.5520000000003,2.2,1.0,8.0
CHEMBL4776397,inactive,15000.0,CS[C@@H](Cn1nnc2cc(C#Cc3ccc(-n4ccnc4CO)cc3)ccc21)N(O)C=O,448.5080000000002,2.0458,2.0,9.0
CHEMBL4758871,inactive,32000.0,CS[C@@H](Cn1nnc2cc(C#Cc3ccc(N4CC5(COC5)C4)cc3)ccc21)N(O)C=O,449.5360000000003,2.2043999999999997,1.0,8.0
CHEMBL4786712,inactive,100000.0,CS[C@@H](Cn1nnc2cc(C#Cc3ccc(N4CC5(C4)C[S+]([O-])C5)cc3)ccc21)N(O)C=O,481.6030000000003,1.9364999999999999,1.0,8.0
CHEMBL4780225,inactive,22000.0,CS[C@@H](Cn1nnc2cc(C#Cc3ccc(N4C[C@H](O)[C@@H](O)C4)cc3)ccc21)N(O)C=O,453.52400000000017,0.9096000000000002,3.0,9.0
CHEMBL4762069,intermediate,6800.0,CCN(C)C(=O)Oc1ccc(-c2cc(=O)c3c(O)cc(OC(=O)N(C)CC)cc3o2)cc1,440.4520000000002,4.066600000000003,1.0,7.0
CHEMBL4789142,inactive,10200.0,CON(C)C(=O)Oc1ccc(-c2cc(=O)c3c(O)cc(OC(=O)N(C)OC)cc3o2)cc1,444.3960000000002,3.149600000000002,1.0,9.0
CHEMBL4787451,intermediate,9200.0,CCN(C)C(=O)Oc1ccc(-c2cc(=O)c3c(OC(=O)N(C)CC)cc(OC(=O)N(C)CC)cc3o2)cc1,525.5580000000003,4.811500000000004,0.0,8.0
CHEMBL4795422,inactive,12700.0,CON(C)C(=O)Oc1ccc(-c2cc(=O)c3c(OC(=O)N(C)OC)cc(OC(=O)N(C)OC)cc3o2)cc1,531.4740000000004,3.4360000000000026,0.0,11.0
CHEMBL3621413,intermediate,5000.0,COc1ccc2cc3[n+](cc2c1OCc1ccccc1)CCc1cc2c(cc1-3)OCO2,412.46500000000026,4.666700000000004,0.0,4.0
CHEMBL4758460,intermediate,7300.0,COc1ccc2cc3[n+](cc2c1OCc1cccc(C)c1)CCc1cc2c(cc1-3)OCO2,426.4920000000003,4.975120000000005,0.0,4.0
CHEMBL4756491,inactive,10400.0,COc1ccc2cc3[n+](cc2c1OCc1ccccc1C)CCc1cc2c(cc1-3)OCO2,426.4920000000003,4.975120000000005,0.0,4.0
CHEMBL4745802,inactive,75800.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(C)cc1)CCc1cc2c(cc1-3)OCO2,426.49200000000025,4.975120000000005,0.0,4.0
CHEMBL4758271,intermediate,4200.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(C(C)C)cc1)CCc1cc2c(cc1-3)OCO2,454.54600000000033,5.790100000000006,0.0,4.0
CHEMBL4789099,intermediate,2500.0,COc1ccc2cc3[n+](cc2c1OCc1cc(C)cc(C)c1)CCc1cc2c(cc1-3)OCO2,440.5190000000003,5.283540000000005,0.0,4.0
CHEMBL4761840,intermediate,3300.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(Br)cc1)CCc1cc2c(cc1-3)OCO2,491.3610000000003,5.429200000000005,0.0,4.0
CHEMBL4743436,intermediate,2700.0,COc1ccc2cc3[n+](cc2c1OCc1cccc(Br)c1)CCc1cc2c(cc1-3)OCO2,491.3610000000003,5.429200000000004,0.0,4.0
CHEMBL4745801,intermediate,1700.0,COc1ccc2cc3[n+](cc2c1OCc1ccccc1Br)CCc1cc2c(cc1-3)OCO2,491.3610000000003,5.429200000000004,0.0,4.0
CHEMBL4745328,active,990.0,COc1ccc2cc3[n+](cc2c1OCc1ccc([N+](=O)[O-])cc1)CCc1cc2c(cc1-3)OCO2,457.46200000000033,4.574900000000004,0.0,6.0
CHEMBL4790739,intermediate,2600.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(SC)cc1)CCc1cc2c(cc1-3)OCO2,458.5590000000003,5.388600000000005,0.0,5.0
CHEMBL4759227,intermediate,1450.0,COc1ccc2cc3[n+](cc2c1OCc1cccc([N+](=O)[O-])c1)CCc1cc2c(cc1-3)OCO2,457.46200000000033,4.574900000000004,0.0,6.0
CHEMBL4753534,intermediate,1900.0,COc1ccc2cc3[n+](cc2c1OCc1cccc(Cl)c1)CCc1cc2c(cc1-3)OCO2,446.9100000000003,5.3201000000000045,0.0,4.0
CHEMBL4749346,intermediate,2500.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(Cl)cc1)CCc1cc2c(cc1-3)OCO2,446.9100000000003,5.3201000000000045,0.0,4.0
CHEMBL4747158,intermediate,1220.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(Cl)c(Cl)c1)CCc1cc2c(cc1-3)OCO2,481.35500000000036,5.973500000000004,0.0,4.0
CHEMBL4748939,intermediate,2600.0,COC(=O)c1ccc(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)cc1,470.5010000000003,4.453300000000003,0.0,6.0
CHEMBL4795843,intermediate,1700.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(C#N)cc1)CCc1cc2c(cc1-3)OCO2,437.47500000000025,4.5383800000000045,0.0,5.0
CHEMBL4762943,intermediate,3500.0,COc1cccc(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)c1,442.49100000000027,4.6753000000000045,0.0,5.0
CHEMBL4752175,intermediate,1300.0,COc1ccc2cc3[n+](cc2c1OCc1ccc(C(F)(F)F)cc1)CCc1cc2c(cc1-3)OCO2,480.4620000000003,5.685500000000004,0.0,4.0
CHEMBL4762533,intermediate,5300.0,COc1ccc(COc2c(OC)ccc3cc4[n+](cc23)CCc2cc3c(cc2-4)OCO3)cc1,442.4910000000003,4.6753000000000045,0.0,5.0
CHEMBL4747577,intermediate,1500.0,COc1ccc2cc3[n+](cc2c1OCc1ccc2ccccc2c1)CCc1cc2c(cc1-3)OCO2,462.5250000000003,5.819900000000005,0.0,4.0
CHEMBL4752813,active,790.0,COc1ccc2cc3[n+](cc2c1OC(C)c1ccccc1)CCc1cc2c(cc1-3)OCO2,426.4920000000003,5.227700000000005,0.0,4.0
CHEMBL4797355,active,392.0,O=c1c2ccccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,379.5000000000002,5.371300000000005,0.0,4.0
CHEMBL4783624,active,120.0,O=c1c2cc(Cl)ccc2oc2ccc(OCCCCCN3CCCCCC3)cc12,413.9450000000004,6.024700000000005,0.0,4.0
CHEMBL4787418,inactive,25400.0,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCN(Cc2ccccc2)CC1,460.66600000000034,4.887200000000004,3.0,3.0
CHEMBL4750731,inactive,16000.0,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCCN(Cc2ccccc2)CC1,474.6930000000004,5.277300000000006,3.0,3.0
CHEMBL4745688,inactive,29700.0,CCCCN[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC1CCN(CC2CCN(C)CC2)CC1,481.7290000000005,4.028800000000003,3.0,4.0
CHEMBL4790545,active,170.0,COc1ccc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)ccc2c1,402.5380000000001,4.880500000000005,1.0,3.0
CHEMBL4777926,active,1000.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,624.727,4.516500000000004,2.0,11.0
CHEMBL4791286,active,1000.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,594.701,4.542400000000003,2.0,10.0
CHEMBL4747410,active,1000.0,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,580.6740000000001,4.281700000000003,2.0,10.0
CHEMBL4741219,active,38.7,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1,672.2149999999999,5.318700000000004,3.0,11.0
CHEMBL4796602,active,269.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1,637.77,4.665300000000004,3.0,11.0
CHEMBL4760288,active,168.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1,651.797,5.055400000000004,3.0,11.0
CHEMBL4787590,active,1000.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(CCNc2c3c(nc4ccc(OC)cc24)CCCC3)nn1,667.7959999999999,4.673900000000003,3.0,12.0
